"endef","mmdef"
"A","Alpha"
"absent without leave","ခြင့္မဲ့ပ်က္ကြက္ျခင္း"
"absolute control of air","ေလေၾကာင္းစစ္အၾကြင္းမဲ့ခိုင္ၿမဲမွု"
"acclimatize","ရာသီဥတုခံႏိုင္သည္။"
"accommodation","ေနရာထိုင္ခင္း"
"accounts","ေငြစာရင္း"
"acknowledge","ရေၾကာင္းျပန္"
"acknowledge message","ရေၾကာင္းေၾကးနန္းစာ"
"acquitted","တရားေသလႊတ္သည္"
"acting","ေခတၱထမ္းရြက္ျခင္း"
"acting rank(e.g.Acting Corporl)","ေခတၱရာထူး(ဥပမာ-ေခတၱတပ္ၾကပ္)"
"action","တိုက္ပြဲ၊ အေရးယူျခင္း၊ တိုက္ခိုက္မွု၊ လုပ္ေဆာင္မွု"
"active service","တန္းျပည့္စစ္မွုထမ္း"
"additional troops/units","ထပ္ျဖည့္တပ္မ်ား"
"ad hoc","က်ပန္း"
"adjacent Units","ေဘးခ်င္းကပ္တပ္မ်ား"
"administration"," အုပ္ခ်ဳပ္ေရး  အုပ္ခ်ဳပ္မွု"
"administrative approval","အုပ္ခ်ဳပ္မွု အတည္ျပဳခ်က္"
"administrative area(General)","အုပ္ခ်ဳပ္မွုတပ္မ်ားေနရာ"
"administrative arrangements","အုပ္ခ်ဳပ္မွု အစီအစဥ္မ်ား"
"administrative boundaries","အုပ္ခ်ဳပ္မွု နယ္နိမိတ္မ်ား"
"administrative command(Authority)","အုပ္ခ်ဳပ္မွု အာဏာ"
"administrative command(HQ)","အုပ္ခ်ဳပ္မွု ဌာနခ်ဳပ္(ရုံး)"
"administrative conference","အုပ္ခ်ဳပ္မွု အစည္းအေဝးမ်ား"
"administrative detail","အုပ္ခ်ဳပ္မွု အေသးစိတ္"
"administrative group","အုပ္ခ်ဳပ္မွု တပ္အစု"
"administrative installation","အုပ္ခ်ဳပ္မွု အေဆာက္အအံု"
"administrative intention","အုပ္ခ်ဳပ္မွု ရည္မွန္းခ်က္"
"administrative layout","အုပ္ခ်ဳပ္မွု တပ္အေနအထား"
"administrative order","အုပ္ခ်ဳပ္မွု အမိန္႕"
